Marca temporal,Número de cuenta,"Escribe tu semestre actual (1,2,3,4,5,6,7,8)",Escribe tu carrera,¿Cómo describirías tu situación económica actual como estudiante? ,"¿De dónde provienen principalmente tus ingresos (familia, beca, trabajo, otros)?",¿Qué gastos mensuales te resultan más difíciles de cubrir y por qué?,¿Qué impacto crees que tiene tu situación económica en tu desempeño académico o bienestar personal?,"Si trabajas mientras estudias, ¿Cómo logras equilibrar ambas responsabilidades?","¿Has tenido que renunciar a alguna oportunidad académica (curso, congreso, material, práctica) por motivos económicos? Cuéntanos cuál.","¿Qué sentimientos te genera pensar en tus finanzas personales (ansiedad, tranquilidad, preocupación, indiferencia)? Explica por qué.",¿Qué estrategias utilizas para administrar tu dinero o hacerlo rendir durante el mes?,¿Qué tipo de apoyo económico te gustaría recibir por parte de la universidad o instituciones externas?,"Más allá del dinero, ¿Qué tipo de ayuda crees que te serviría para reducir el estrés económico (por ejemplo: asesorías, talleres, orientación laboral, acceso a herramientas digitales, etc.)?",¿De qué manera crees que una mejor educación financiera podría ayudarte en tu futuro profesional?,¿Cómo imaginas tu situación económica ideal dentro de cinco años y qué estás haciendo para acercarte a ella?,¿En qué momentos del semestre sientes mayor presión económica y por qué crees que ocurre eso?,"Cuando te enfrentas a un gasto inesperado o a una dificultad económica, ¿Cuáles son los pasos que sigues o a quién sueles recurrir?","¿Has recibido algún tipo de orientación o capacitación sobre manejo del dinero dentro de la universidad? Si no, ¿te gustaría que la hubiera?","Si pudieras dar un consejo a otros estudiantes sobre cómo sobrellevar los retos económicos, ¿Cuál sería?"
10/7/2025 8:26:19,423122349,7,Mac ,Mi situación actual es estable. ,Trabajo,"solo sería el transporte, ya que depende que tanto me esté trasladando. ",Ninguno. ,Tratar de hacer mitad de ambas cosas en buenos horarios. ,"Ninguna, todo bien. ","Solo preocupación, ya que no sé qué tanto afecte a largo plazo. ",Gastar menos en lo posible. ,De la universidad. ,"Solo talleres, lo veo ideal. ",Ayudaría bastante. ,Probablemente siga siendo estable. ,Cuando son finales de semestre. ,"Tratar de hacer lo posible, gastar menos. ",Si he recibido. ,Consideren buenas estrategias financieras. 
10/7/2025 8:27:47,422055662,7,mac,buena,familia,ninguno,muy alto,no trabajo,no,"tranquilidad, porque no es algo que me importe mucho",gastar solo en lo necesario,becas,"asesorias, orientacion laboral",en el crecimiento de mi patrimonio,"buena, trabajando","al inicio, ya que tengo que acoplarme a la vida foranea",recurro a mi papa,no,no se
10/7/2025 8:32:26,318331674,7,Matematicas Aplicadas y Computacion,Regular,"familia, trabajo","transporte, comida y renta, mensualmente es una gran suma para mi poco presupuesto","bastante, es una traquilidd necesaria",organizo mis tiempos y equilibro responsabilidades,"si, trabajos de becaria y servicios sociales. el tema es el transporte y el tiempo",preocupacion y ansiedad. el no saber si llegare a fin de semana con lo necesario para mis transportes de la escuela,"trato de traer de omer de mi casa, no comprar dulces o cigarros y poner una meta de ahorro diaria",becas mensuales o bimestrales,talleres y asesorias,"bastante, saber controlar el dinero es parte de la vida diaria","bastante tranquila, estoy preparando profesionalmente","en todo el semestre, es la necesidad de llegar a la clase, porque no se puede faltar a una por cuestiones de temas importantes",a mis papas o a mercado paago,"no, si","evitar los gastos horiga, como dulces, refrescos, cigarros y ponerse una meta de ahorro diaria"
10/7/2025 8:33:38,421101429,7,MAC,Regular ,Familia,El de mis comidas de lunch,Muy buen impacto ,No trabajo ,Ninguno ,Tranquilidad porque no me da ansiedad ,Trato de gastar lo necesario ,Becas,Asesorias ,Para saber cómo gastar mis ingresos de una manera inteligente ,Estable y para llegar a ello trato de echarle ganas a la escuela ,No me ha pasado ,A mis papás ,Aún no y si me gastaría ,Buscas asesorías 
10/7/2025 8:35:13,423086812,7,Mac,Buena ,Familia ,Despensa ya que al tener una dieta me piden algunos ingredientes caros ,Alto,No trabajo ,No,Ansiedad ya que avanzando el mes el presupuesto se ajusta ,Planificar las compras para hacerlo rendir ,Apoyo financiero para estudiantes foráneos,Acceso a herramientas digitales ,Planificar un plan de ahorro para inversiones y que el dinero ahorrado no se devalúe ,Estable financieramente y lo que hago es invertir poco a poco,4 por qué algunas materias te piden materiales para la clase,Primero hago una estimación de mi presupuesto semanal y con eso ajusto viendo productos que pueda evitar ,No y si me gustaría ,Ahorrar y no vivir al límite para que no te falte el dinero
10/7/2025 8:37:33,423058831,7,mac,buena,familia y beca ,mis pagos mensuales no los cubro yo,alto impacto ,no trabajo ,no,indiferencia ,ahorrar e invertir ,beca ,orientación laboral ,para administrar de manera correcta mi dinero ,"me preparó para un futuro laboral estudiando lo que necesito saber, yo creo que mi situación económica será buena ","al final, porque gasto mucho",a mis papás ,"no, me encantaría ",que aprendan a ahorrar 
10/7/2025 8:37:47,422091501,7,MAC,bein,Familia,ninguno,ninguno,ta kbron,creo que no,preocupacion,Administro bien el money,"$100,000 pesos",talleres,a administrar el dinero,tener trabajo y esforzandome a mejorar cada dia,"ultimos, porque ya vas para afuera",es importante? si no lo hago o no,"no, y tampoco, ya le se a ese pedo","mantengan claras sus prioridades, no gasten en mamadas"
10/7/2025 8:39:14,320584622,7,mac,buena ,familia ,mis gustos ,ninguna,le doy prioridad al trabajo ,no,"ansiedad, quiero cada vez mas dinero ",lo meto a un fondo de inversión en NU,beca de manutención,asesorías ,en como saber invertir ,"muy buena, trabajando en lo que me gusta  ",en ninguna,ir con mi familia ,si,no gastar en alcohol 
10/7/2025 8:44:26,422042730,7,MAC,Mala,Familia ,"Ninguno, porque yo no lo pago",Mucho ,No trabajo,No ,Ansiedad por que gasto mucho ,Ver que gastos son importantes y cuales no ,Pues dinero ,Cursos ,Pues para muchos puede ser un factor entre que vengan a la escuela o no ,"Mejor, trabajar ",Ninguno ,Con mis papás ,"No, si me gustaría ",Administrarse bien
10/7/2025 8:45:58,423072275,7,MAC,estable,familia,comidas por que en la facultad es muy caro,a veces me siento mal físicamente,no trabajo,"si, idioma",ansiedad,utilizar una aplicación para administrar,beca,"talleres, orientación laboral",saber no malgastar el dinero,"estable, administro mi dinero de manera correcta",nunca,siempre tengo dinero guardado para alguna urgencia,"no, me gustaría que hubiera",ahorren
